Index,Molecule,Smile
81,Uridine diphosphate N-acetylglucosamine,CC(=O)N[C@H]1[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
82,Dihydroxyacetone phosphate,O=C(CO)COP(=O)(O)O
83,D-Glyceraldehyde 3-phosphate,O=C[C@H](O)COP(=O)(O)O
84,myo-Inositol,OC1C(O)C(O)C(O)C(O)C1O
85,Methylglyoxal,CC(=O)C=O
86,Lactaldehyde,CC(O)C=O
87,myo-Inositol 1-phosphate,O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O
88,N-Acetylglucosamine,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1O
89,Glucose 6-phosphate,O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
90,3-Phospho-D-glycerate,O=C(O)[C@H](O)COP(=O)(O)O
91,Acrylamide,C=CC(N)=O
92,N-Methylolacrylamide,C=CC(=O)NCO
93,4-Methyl-1-pentanol,CC(C)CCCO
94,4-Methylpentanoic acid,CC(C)CCC(=O)O
95,Isobutyryl-CoA,CC(C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
96,Isobutyrate,CC(C)C(=O)O
97,Isopentane,CCC(C)C
98,Acetyl acrylic acid,CC(=O)/C=C\C(=O)O
99,Succionitrile,N#CCCC#N
100,Propionyl-CoA,CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
101,Acrylyl-CoA,C=CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
102,Lactyl-CoA,CC(O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
103,Lactide,CC1OC(=O)C(C)OC1=O
104,Lactic acid,CC(O)C(=O)O
105,Propionic acid,CCC(=O)O
106,Propylene,C=CC
107,Propylene glycol,CC(O)CO
108,2-Acetoxypropanoic acid,CC(=O)OC(C)C(=O)O
109,"2,3-Pentanedione",CCC(=O)C(C)=O
110,Acetaldehyde,CC=O
111,"2,3,5,6-Tetra-methylpyrazine",Cc1nc(C)c(C)nc1C
112,Acetoin,CC(=O)C(C)O
113,"Butane-2,3-dione",CC(=O)C(C)=O
114,"1,3-Butadiene",C=CC=C
115,"1,3-Butanediol",CC(O)CCO
116,Butanone,CCC(C)=O
117,"Meso-2,3-Butanediol",CC(O)C(C)O
118,Terephthalic acid,O=C(O)c1ccc(C(=O)O)cc1
119,p-Xylene,Cc1ccc(C)cc1
120,2-Butanol,CCC(C)O
121,Methyl isoamyl ketone,CC(=O)CCC(C)C
122,2-Ketoisoheptanoate,CC(C)CCC(=O)C(=O)O
123,3-Methyl-1-butanol,CC(C)CCO
124,2-Ketoisocaproate,CC(C)CC(=O)C(=O)O
125,2-Acetolactate,CC(=O)C(C)(O)C(=O)O
126,4-Methyl-2-pentanone,CC(=O)CC(C)C
127,Diisobutyl ketone,CC(C)CC(=O)CC(C)C
128,2-Ketoisovalerate,CC(C)C(=O)C(=O)O
129,Isovalerate,CC(C)CC(=O)O
130,L-Leucine,CC(C)C[C@H](N)C(=O)O
131,3-Hydroxyisovalerate,CC(C)(O)CC(=O)O
132,L-Valine,CC(C)C(N)C(=O)O
133,Isobutanol,CC(C)CO
134,Isobutylene,C=C(C)C
135,Isooctene,C=CCCCC(C)C
136,Methyl tert-butyl ether,COC(C)(C)C
137,Ethyl tert-butyl ether,CCOC(C)(C)C
138,Phosphoenolpyruvate,C=C(OP(=O)(O)O)C(=O)O
139,D-Erythrose 4-phosphate,O=C[C@H](O)[C@H](O)COP(=O)(O)O
140,"Polyamide 6,6",CNCCCCCCNC(=O)CCCCC(C)=O
141,Hexamethylenediamine,NCCCCCCN
142,"cis, cis-Muconic acid",O=C(O)/C=C\C=C/C(=O)O
143,Homoeriodictyol chalcone,COc1cc(C=CC(=O)c2c(O)cc(O)cc2O)ccc1O
144,Feruloyl-CoA,COc1cc(/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)(O)O)ccc1O
145,Homoeriodictyol,COc1cc(C2CC(=O)c3c(O)cc(O)cc3O2)ccc1O
146,Coniferyl alcohol,COc1cc(C=CCO)ccc1O
147,Ferulic acid,COc1cc(/C=C/C(=O)O)ccc1O
148,Coniferaldehyde,COc1cc(C=CC=O)ccc1O
149,Rosmarinic acid,O=C(C=Cc1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O
150,Caffeic acid,O=C(O)/C=C/c1ccc(O)c(O)c1
151,Resveratrol,Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1
152,Coumaroyl-CoA,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/c1ccc(O)cc1
153,Malonyl-CoA,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)O
154,p-Coumaric acid,O=C(O)/C=C/c1ccc(O)cc1
155,Emodin,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O
156,Endocrocin,Cc1cc2c(c(O)c1C(=O)O)C(=O)c1c(O)cc(O)cc1C2=O
157,Naringenin chalcone,O=C(C=Cc1ccc(O)cc1)c1c(O)cc(O)cc1O
158,Bisdemethoxycurcumin,O=C(C=Cc1ccc(O)cc1)CC(=O)C=Cc1ccc(O)cc1
159,4-Phenylbutyrate,O=C(O)CCCc1ccccc1
160,6-Phenylhexanoate,O=C(O)CCCCCc1ccccc1
161,D-Phenylglycine,NC(C(=O)O)c1ccccc1
162,Benzyl chloride,ClCc1ccccc1
163,Silybin,COc1cc([C@H]2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3O[C@@H]2CO)ccc1O
164,Naringenin,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21
165,Isosilybin,COc1cc(C2Oc3ccc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)cc3OC2CO)ccc1O
166,Benzaldehyde,O=Cc1ccccc1
167,Benzyl alcohol,OCc1ccccc1
168,Taxifolin,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O
169,Eriodictyol,O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21
170,Hippurate,O=C(O)CNC(=O)c1ccccc1
171,Phenylethanediol,OCC(O)c1ccccc1
172,Phenethylamine,NCCc1ccccc1
173,Styrene,C=Cc1ccccc1
174,Styrene oxide,c1ccc(C2CO2)cc1
175,Benzoic acid,O=C(O)c1ccccc1
176,Rosavin,OC1COC(OCC2OC(OCC=Cc3ccccc3)C(O)C(O)C2O)C(O)C1O
177,trans-Cinnamic acid,O=C(O)/C=C/c1ccccc1
178,Phenylglyoxylate,O=C(O)C(=O)c1ccccc1
179,Benzyl glucosinolate,O=S(=O)(O)O/N=C(/Cc1ccccc1)S[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
180,L-Phenylalanine,N[C@@H](Cc1ccccc1)C(=O)O
181,(R)-Mandelate,O=C(O)[C@H](O)c1ccccc1
182,Phenylethanol,OCCc1ccccc1
183,Phenylacetic acid,O=C(O)Cc1ccccc1
184,Phenyl acetaldehyde,O=CCc1ccccc1
185,(S)-Mandelate,O=C(O)[C@@H](O)c1ccccc1
186,Phenylpyruvate,O=C(O)C(=O)Cc1ccccc1
187,p-Hydroxystyrene,C=Cc1ccc(O)cc1
188,Tyramine,NCCc1ccc(O)cc1
189,Toluene,Cc1ccccc1
190,Prephenic acid,O=C(O)C(=O)CC1(C(=O)O)C=CC(O)C=C1
191,L-DOPA,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
192,4-Hydroxyphenylacetic acid,O=C(O)Cc1ccc(O)cc1
193,L-Tyrosine,N[C@@H](Cc1ccc(O)cc1)C(=O)O
194,Dhurrin,N#CC(OC1OC(CO)C(O)C(O)C1O)c1ccc(O)cc1
195,Dihydrobenzenediol,OC1C=CC=CC1O
196,Benzene,c1ccccc1
197,Hydroxytyrosol,OCCc1ccc(O)c(O)c1
198,Dopamine,NCCc1ccc(O)c(O)c1
199,Tyrosol,OCCc1ccc(O)cc1
200,Protocatechuic acid,O=C(O)c1ccc(O)c(O)c1
201,Vanillin,COc1cc(C=O)ccc1O
202,Catechol,Oc1ccccc1O
203,Guaiacol,COc1ccccc1O
204,"2-Pyrone-4,6-dicarboxylic acid",O=C(O)c1cc(C(=O)O)oc(=O)c1
205,3-Deoxy-D-arabino-heptulosonate-7-phosphate,O=C(O)C(=O)C[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
206,Danshensu,O=C(O)C(O)Cc1ccc(O)c(O)c1
207,4-Aminophenylethanol,Nc1ccc(CCO)cc1
208,4-Aminocinnamic acid,Nc1ccc(/C=C/C(=O)O)cc1
209,Menaquinone-7,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCC1=C(C)C(=O)c2ccccc2C1=O
210,3-Phosphoglycerate,O=C(O)C(O)COP(=O)(O)O
211,4-Aminophenylethylamine,NCCc1ccc(N)cc1
212,4-Aminophenylalanine,Nc1ccc(C[C@H](N)C(=O)O)cc1
213,4-Aminophenylacetic acid,Nc1ccc(CC(=O)O)cc1
214,4-Aminophenylacetaldehyde,Nc1ccc(CC=O)cc1
215,3-Dehydroshikimate,O=C(O)C1=CC(=O)[C@@H](O)[C@H](O)C1
216,Shikimic acid,O=C(O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1
217,4-Hydroxyphenyllactic acid,O=C(O)C(O)Cc1ccc(O)cc1
218,4-Hydroxymandelic acid,O=C(O)C(O)c1ccc(O)cc1
219,D-Phenyllactic acid,O=C(O)C(O)Cc1ccccc1
220,Chorismate,C=C(OC1C=C(C(=O)O)C=CC1O)C(=O)O
221,Anthranilate,Nc1ccccc1C(=O)O
222,Aniline,Nc1ccccc1
223,Indolmycin,CN=C1NC(=O)[C@H]([C@H](C)c2c[nH]c3ccccc23)O1
224,Methyl-anthranilate,COC(=O)c1ccccc1N
225,5-Hydroxytryptophan,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O
226,L-Tryptophan,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
227,4-Hydroxyquinoline,O=c1cc[nH]c2ccccc12
228,4-Hydroxybenzoic acid,O=C(O)c1ccc(O)cc1
229,4-Aminobenzoic acid,Nc1ccc(C(=O)O)cc1
230,Melatonin,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
231,Isochorismate,C=C(OC1C=CC=C(C(=O)O)C1O)C(=O)O
232,Serotonin,NCCc1c[nH]c2ccc(O)cc12
233,Hapalindole H,[C-]#[N+][C@@H]1[C@H]2c3c[nH]c4cccc(c34)C(C)(C)[C@@H]2CC[C@]1(C)C=C
234,Pendolmycin,C=CC(C)(C)c1ccc2c3c(c[nH]c13)C[C@@H](CO)NC(=O)[C@H](C(C)C)N2C
235,Deoxyviolacein,O=C1N=c2ccccc2=C1c1cc(-c2c[nH]c3ccccc23)[nH]c1O
236,Violacein,O=C1N=c2ccccc2=C1c1cc(-c2c[nH]c3ccc(O)cc23)[nH]c1O
237,5-Methoxytryptamine,COc1ccc2[nH]cc(CCN)c2c1
238,Proviolacein,O=C1N=C(c2c[nH]c3ccc(O)cc23)C=C1c1c[nH]c2ccccc12
239,Prodeoxyviolacein,O=C1N=C(c2c[nH]c3ccccc23)C=C1c1c[nH]c2ccccc12
240,Pentadecane,CCCCCCCCCCCCCCC
241,3-Methylcatechol,Cc1cccc(O)c1O
242,Arachidonic acid,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O
243,Docosahexaenoic acid,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O
244,Isoamyl acetate,CC(=O)OCCC(C)C
245,Triacetic acid lactone,Cc1cc(O)cc(=O)o1
246,Acetyl-CoA,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
247,Pyruvate,CC(=O)C(=O)O
248,"Ribulose-1,5-bisphosphate",O=C(COP(=O)(O)O)C(O)C(O)COP(=O)(O)O
249,Acetoacetyl-CoA,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
250,Formic acid,O=CO
251,Ethanol,CCO
252,Acetate,CC(=O)O
253,Mevalonic acid,CC(O)(CCO)CC(=O)O
254,Isoprene,C=CC(=C)C
255,(S)-3-hydroxybutyryl-CoA,C[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
256,(R)-3-hydroxybutyryl-CoA,C[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
257,Isopropanol,CC(C)O
258,Crotonoyl-CoA,C/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
259,(R)-3-Hydroxybutyrate,C[C@@H](O)CC(=O)O
260,2-Hydroxyisobutyrate,CC(C)(O)C(=O)O
261,Propane,CCC
262,Ethylene,C=C
263,p-Cymene,Cc1ccc(C(C)C)cc1
264,Cannabigerolic acid,CCCCCc1cc(O)c(CC=C(C)CCC=C(C)C)c(O)c1C(=O)O
265,Cannabidiol,C=C(C)C1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O
266,Olivetolic acid,CCCCCc1cc(O)cc(O)c1C(=O)O
267,Limonene,C=C(C)C1CC=C(C)CC1
268,Myrcene,C=CC(=C)CCC=C(C)C
269,Sabinene,C=C1CCC2(C(C)C)CC12
270,Pinene,CC1=C2CC(CC1)C2(C)C
271,Acetic anydride,CC(=O)OC(C)=O
272,Ethenone,C=C=O
273,Isopentenyl diphosphate,C=C(C)CCOP(=O)(O)OP(=O)(O)O
274,Isoprenol,C=C(C)CCO
275,Geraniol,CC(C)=CCCC(C)=CCO
276,Nepetalactol,CC1=CO[C@@H](O)[C@H]2[C@@H]1CC[C@@H]2C
277,Sitosterol,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C
278,(22S)-22-Hydroxycampest-4-en-3-one,CC(C)[C@H](C)C[C@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
279,Farnesol,CC(C)=CCCC(C)=CCCC(C)=CCO
280,Geranyl diphosphate,CC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O
281,Farnesyl diphosphate,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
282,Squalene,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C
283,Campesterol,CC(C)C(C)C=CC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C
284,Ergosterol,C=C(C)C1CCC(C)=CC1c1c(O)cc(CCCCC)c(C(=O)O)c1O
285,Polpunoic acid,C[C@H]1C(=O)CC[C@@H]2[C@]1(C)CC[C@H]1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)O)CC[C@]3(C)CC[C@]12C
286,Butyryl-CoA,CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
287,1-Butanol,CCCCO
288,6-Undecanone,CCCCCC(=O)CCCCC
289,Butyrate,CCCC(=O)O
290,Ethyl Butyrate,CCCC(=O)OCC
291,Hexanoic acid,CCCCCC(=O)O
292,Pentane,CCCCC
293,Octanoic acid,CCCCCCCC(=O)O
294,8-Hydroxyoctanoic acid,O=C(O)CCCCCCCO
295,Tetrahydrocannabinolic acid,CCCCCc1cc2c(c(O)c1C(=O)O)[C@@H]1C=C(C)CC[C@H]1C(C)(C)O2
296,Tetrahydrocannabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21
297,Artemisin,CC1=C2[C@H]3OC(=O)[C@@H](C)[C@@H]3[C@@H](O)C[C@@]2(C)C=CC1=O
298,Santalol,C=C1C2CCC(C2)C1(C)CCC=C(C)CO
299,Artemisinic acid,C=C(C(=O)O)[C@@H]1CC[C@@H](C)[C@@H]2CCC(C)=C[C@@H]21
300,Farnesane,CCC(C)CCCC(C)CCCC(C)C
301,Farnesene,C=CC(C)=CCC=C(C)CCC=C(C)C
302,Cannabidiolic acid,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)c(C(=O)O)c1O
303,Geranylgeranyl diphosphate,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O
304,Steviol,C=C1CC23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(O)C3
305,Bisabolene,CC(C)=CCC/C(C)=C1\CC=C(C)CC1
306,Bisabolane,CC(C)CCCC(C)C1CCC(C)CC1
307,beta-lonone,CC(=O)/C=C/C1C(C)=CCCC1(C)C
308,Retinol,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO
309,Geranylgeraniol,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCO
310,Valencene,C=C(C)[C@@H]1CCC2=CCC[C@@H](C)[C@]2(C)C1
311,Beta-Carotene,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C
312,Astaxanthin,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)[C@@H](O)CC2(C)C)C(C)(C)C[C@H](O)C1=O
313,Abscisic acid,CC(C=CC1(O)C(C)=CC(=O)CC1(C)C)=CC(=O)O
314,Nootkatone,C=C(C)[C@@H]1CCC2=CC(=O)C[C@@H](C)[C@]2(C)C1
315,Zeaxanthin,CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C
316,Gossypol,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O
317,L-Homoalanine,CCC(N)C(=O)O
318,3-Aminotetrahydrofuran,NC1CCOC1
319,"2-Amino-1,4-butanediol",NC(CO)CCO
320,Amino-y-butyrolactone,NC1CCOC1=O
321,L-Aspartate,N[C@@H](CC(=O)O)C(=O)O
322,beta-Alanine,NCCC(=O)O
323,2-Ketobutyric acid,CCC(=O)C(=O)O
324,2-Methyl-1-butanol,CCC(C)CO
325,3-Methyl-1-pentanol,CCC(C)CCO
326,L-Isoleucine,CCC(C)C(N)C(=O)O
327,L-Threonine,CC(O)C(N)C(=O)O
328,L-Homoserine,N[C@@H](CCO)C(=O)O
329,Aspartate semialdehyde,N[C@@H](CC=O)C(=O)O
330,Heptanoic acid,CCCCCCC(=O)O
331,Pentanoic acid,CCCCC(=O)O
332,L-Methionine,CSCC[C@H](N)C(=O)O
333,1-Aminocyclopropane-1-1-carboxylic acid,NC1(C(=O)O)CC1
334,Ectoine,CC1=NCCC(C(=O)O)N1
335,"1,3-Diaminopropane",NCCCN
336,L-Lysine,NCCCC[C@H](N)C(=O)O
337,Cadaverine,NCCCCCN
338,Methylmalonyl-CoA,CC(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
339,Tiglic acid,C/C=C(\C)C(=O)O
340,2-Methylbutyric acid,CCC(C)C(=O)O
341,Butane,CCCC
342,3-Pentanone,CCC(=O)CC
343,5-Methyl-3-hexanone,CCC(=O)CC(C)C
344,(E)-2-Methyl-2-pentenoic acid,CC/C=C(\C)C(=O)O
345,2-Methylpentanoic acid,CCCC(C)C(=O)O
346,2-Aminoadipate,NC(CCCC(=O)O)C(=O)O
